i, time, sound
637, 13.2708, 9854
638, 13.2917, 7541
639, 13.3125, 5547
640, 13.3333, 3882
641, 13.3542, 2508
642, 13.375, 1340
643, 13.3958, 292
644, 13.4167, -682
645, 13.4375, -1609
646, 13.4583, -2511
647, 13.4792, -3392
648, 13.5, -4322
649, 13.5208, -5454
650, 13.5417, -6853
651, 13.5625, -8381
652, 13.5833, -9838
653, 13.6042, -11122
654, 13.625, -12207
655, 13.6458, -13047
656, 13.6667, -13598
657, 13.6875, -13903
658, 13.7083, -14059
659, 13.7292, -14103
660, 13.75, -14022
661, 13.7708, -13806
662, 13.7917, -13398
663, 13.8125, -12649
664, 13.8333, -11407
665, 13.8542, -9705
666, 13.875, -7881
667, 13.8958, -6404
668, 13.9167, -5491
669, 13.9375, -4982
670, 13.9583, -4597
671, 13.9792, -4242
672, 14, -4104
673, 14.0208, -4485
674, 14.0417, -5464
675, 14.0625, -6794
676, 14.0833, -8154
677, 14.1042, -9357
678, 14.125, -10311
679, 14.1458, -11010
680, 14.1667, -11609
681, 14.1875, -12311
682, 14.2083, -13108
683, 14.2292, -13742
684, 14.25, -13976
685, 14.2708, -13748
686, 14.2917, -13047
687, 14.3125, -11866
688, 14.3333, -10342
689, 14.3542, -8713
690, 14.375, -7103
691, 14.3958, -5518
692, 14.4167, -4060
693, 14.4375, -2998
694, 14.4583, -2569
695, 14.4792, -2777
696, 14.5, -3433
697, 14.5208, -4303
698, 14.5417, -5170
699, 14.5625, -5889
700, 14.5833, -6423
701, 14.6042, -6764
702, 14.625, -6864
703, 14.6458, -6621
704, 14.6667, -5907
705, 14.6875, -4740
706, 14.7083, -3363
707, 14.7292, -1960
708, 14.75, -404
709, 14.7708, 1520
710, 14.7917, 3826
711, 14.8125, 6425
712, 14.8333, 9269
713, 14.8542, 12221
714, 14.875, 14956
715, 14.8958, 17206
716, 14.9167, 18987
717, 14.9375, 20389
718, 14.9583, 21288
719, 14.9792, 21455
720, 15, 20859
721, 15.0208, 19714
722, 15.0417, 18329
723, 15.0625, 16980
724, 15.0833, 15801
725, 15.1042, 14739
726, 15.125, 13656
727, 15.1458, 12467
